site,match_category_corrected,size_W,size_L,morphology,blank_type,filename,total_values,volume,subsample_rate,total_N,total_MDA,corrected_N,N_per_L
M1,Rubber,<50,100-200,fiber/filament,H2O2,Results_Mekong10_Feb22_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.2,5,0,5,0.1111111111111111
M2,Polyamides (polylactams),100-200,200-300,film,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M2,Polyamides (polylactams),50-100,200-300,film,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M2,Polyamides (polylactams),50-100,50-100,film,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,9,45,0.5,18,0,18,0.4
M2,Polypropylene,50-100,50-100,film,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,3,45,0.5,6,0,6,0.13333333333333333
M2,Polypropylene,<50,100-200,fiber/filament,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M2,Polypropylene,<50,50-100,fiber/filament,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,3,45,0.5,6,0,6,0.13333333333333333
M2,Rubber,100-200,200-300,film,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M2,Rubber,<50,100-200,fiber/filament,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,5,45,0.5,10,0,10,0.2222222222222222
M2,Rubber,<50,300-400,fiber/filament,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M2,Rubber,<50,50-100,fiber/filament,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,41,45,0.5,82,0,82,1.8222222222222222
M2,Rubber,<50,50-100,fragment,H2O2,Results_Mekong8_Feb2422_HVS_100um_derivative_beta_T0.7_results.csv,1,45,0.5,2,0,2,0.044444444444444446
M4,Other plastic,<50,600-700,fiber/filament,H2O2,Results_Mekong6_Feb2222_HVS_100um_derivative_beta_T0.7_results.csv,1,42,0.2,5,3.3333333333333335,1.6666666666666665,0.03968253968253968
